Name,Type,Market,Phone,Additional Phones,Contact Person,Email,Address,Notes
XPS Xpress Tempe,Material Supplier,Phoenix/Scottsdale,(520) 462-1103,,,, 2430 W 12th St Ste 2 Tempe AZ 85281,
XPS Xpress Nashville,Material Supplier,Nashville,(615) 908-0685,"(615) 378-3035, (615) 434-8188",Wanda Feliciano,wanda@xpsxpress.com,475 Metroplex Dr Ste 106 Nashville TN 37211,Ask for Wanda by name
The Concrete Protector,Material Supplier,Phoenix/Scottsdale,(877) 743-9732,,,,National line — ask for AZ local rep,Full line: epoxy/polyaspartic/urethane
The Concrete Protector,Material Supplier,Nashville,(877) 743-9732,,,,National line — ask for Middle Tennessee rep,Same number as AZ
The Concrete Protector,Material Supplier,Seattle,(877) 743-9732,,,,National line — ask for Pacific Northwest rep,Same number
Sherwin-Williams Phoenix Floorcovering Center,Material Supplier,Phoenix/Scottsdale,(602) 353-0200,,,,2131 E Jackson St Phoenix AZ 85034,Contractor supply branch
American Epoxy Arizona,Material Supplier,Phoenix/Scottsdale,(602) 688-9967,,,,7111 W Warner St Phoenix AZ 85043,Showroom + contractor supply
Resinous Flooring Supply Southeast,Material Supplier,Nashville,(615) 649-0505,,Ryan,,,Spring Hill TN — dedicated epoxy/polyaspartic contractor supply — best Nashville lead
Sherwin-Williams Nashville Floorcovering Center,Material Supplier,Nashville,(629) 800-6930,,,,1506 Antioch Pike Antioch TN 37013,
Sherwin-Williams Seattle South Floorcovering Center,Material Supplier,Seattle,(253) 395-2407,,,,4210 B St NW Ste H Auburn WA 98001,
Sherwin-Williams Seattle North Floorcovering Center,Material Supplier,Seattle,(425) 513-8357,,,,12512 Beverly Park Rd Ste B2 Lynnwood WA 98087,
Specialty Coatings Plus,Material Supplier,Seattle,(425) 255-3555,,,,Renton WA,Coating supplier/installer hybrid — sells materials direct to contractors
United Rentals Flooring & Facility Solutions,Equipment Rental,Phoenix/Scottsdale,(602) 253-7619,,,,1717 W Grant St Phoenix AZ 85007,Concrete grinder rental — counter guys know active installers
Sunbelt Rentals Flooring Solutions,Equipment Rental,Phoenix/Scottsdale,(602) 269-3251,,,,4105 W Indian School Rd Phoenix AZ 85019,
Herc Rentals Floor Care Solutions,Equipment Rental,Phoenix/Scottsdale,(602) 269-5931,,,,2010 N Black Canyon Rd Phoenix AZ 85009,
United Rentals Flooring & Facility Solutions,Equipment Rental,Nashville,(615) 736-5450,,,,723 Massman Dr Nashville TN 37210,
Sunbelt Rentals Flooring Solutions Nashville,Equipment Rental,Nashville,(800) 667-9328,,,,Branch #630 Nashville — ask for flooring branch,
Herc Rentals Floor Care,Equipment Rental,Nashville,(615) 365-8829,,,,1320 Murfreesboro Rd Nashville TN 37211,
United Rentals Flooring & Facility Solutions,Equipment Rental,Seattle,(206) 767-7647,,Nicholas Whitehead,,,5421 1st Ave S Seattle WA 98108,Ask for Nicholas
Sunbelt Rentals Flooring Solutions Seattle,Equipment Rental,Seattle,(800) 667-9328,,,,Ask for Seattle flooring branch,Same national line as Nashville
Herc Rentals Floor Care,Equipment Rental,Seattle,(206) 934-5700,,,,5055 4th Ave S Seattle WA 98134,
